Menu Item,Image URL
All Star Bucket,https://images.ctfassets.net/n4pc9wlortyn/tU7iFhcYjBxWmiU78opKH/569b01344ebb379e3f1639f48124b64a/ALL-STAR-BUCKET_EN.png
The Box All Zabb,https://images.ctfassets.net/n4pc9wlortyn/7ah5pl7qRQnpiVFKK1NjUo/0d6685d9c953719794cedeba2dd784a3/The-box-all-zabb.png
Zabb Rice Bowl Combo,https://images.ctfassets.net/n4pc9wlortyn/7xTzSDEheMtViZyzTuxpfQ/7822d19dc10cfe4e8b43cd0175833e72/Zabb-bowl-combo.png
Green Curry Rice Bowl Combo,https://images.ctfassets.net/n4pc9wlortyn/16WnDvOVhmMtiHv10TthWh/f5306cb625cbbf0aa62e8bb9c7b56f94/Green-curry-bowl-combo.png
Zabb Snack Box,https://images.ctfassets.net/n4pc9wlortyn/2UYH7ENJJy3vkGenGP004o/843a8e2fa36921f1898014dee8b02cae/Zabb-snack-box.png
Ju Jai,https://images.ctfassets.net/n4pc9wlortyn/55oasxCD4W97TMvxwQwIpr/324057adea453b9579a5d7e0b44efb8d/JPU_Chicken_Jujai__480x388.png
ALL IN ONE BUCKET,https://images.ctfassets.net/n4pc9wlortyn/7B6fISz9uJncAj6Hcjrgh/6589cbf7682082450dbe7079ac7c3c89/ALL_IN_ONE_BUCKET_480x388.png
Porjai Bucket,https://images.ctfassets.net/n4pc9wlortyn/3OgF9XZZwfrxWSt0vtPsCU/dea5c20f9aeed08baa2615d3b77516cc/New_-Porjai-Bucket_EN.png
The Box Signature,https://images.ctfassets.net/n4pc9wlortyn/7BoZpkNiyICqN9CLgBl9J8/3806c7658e37067c0e395eae8b31cf3b/JPU_The_Box_Signature_480x388.png
KFC The Box All Rice Spicy Chicken,https://images.ctfassets.net/n4pc9wlortyn/1VynJvkHfHS2QFjNLvvjYS/a61598f75cae5c805d255180d4b12746/JPU_The_Box_All_Rice_480x388.png
The Box All Star,https://images.ctfassets.net/n4pc9wlortyn/shFWdqADEwHRVSRHpjvUM/9a26deb081a89544c3c7b0af2e01e202/JPU_The_Box_All_Star_480x388.png
Egg Tart 6pcs. Free 2pcs.,https://images.ctfassets.net/n4pc9wlortyn/6HYfExm7c1i7pCLlJmWpiR/a0f7c674aa6bc1583aead1993366e754/ET_6FREE2_EN.png
Egg Tart 3pcs. Free 1pc.,https://images.ctfassets.net/n4pc9wlortyn/3s5wzG9J3fwx3nuVCbwnJN/38ca0e223c8b2703b6f8f3a7bc2c5ccb/ET_3FREE1_EN.png
The Box All Zabb,https://images.ctfassets.net/n4pc9wlortyn/7ah5pl7qRQnpiVFKK1NjUo/0d6685d9c953719794cedeba2dd784a3/The-box-all-zabb.png
Zabb Rice Bowl Combo,https://images.ctfassets.net/n4pc9wlortyn/7xTzSDEheMtViZyzTuxpfQ/7822d19dc10cfe4e8b43cd0175833e72/Zabb-bowl-combo.png
Green Curry Rice Bowl Combo,https://images.ctfassets.net/n4pc9wlortyn/16WnDvOVhmMtiHv10TthWh/f5306cb625cbbf0aa62e8bb9c7b56f94/Green-curry-bowl-combo.png
The Box Signature,https://images.ctfassets.net/n4pc9wlortyn/7BoZpkNiyICqN9CLgBl9J8/3806c7658e37067c0e395eae8b31cf3b/JPU_The_Box_Signature_480x388.png
The Box All Star,https://images.ctfassets.net/n4pc9wlortyn/shFWdqADEwHRVSRHpjvUM/9a26deb081a89544c3c7b0af2e01e202/JPU_The_Box_All_Star_480x388.png
KFC The Box All Rice Spicy Chicken,https://images.ctfassets.net/n4pc9wlortyn/1VynJvkHfHS2QFjNLvvjYS/a61598f75cae5c805d255180d4b12746/JPU_The_Box_All_Rice_480x388.png
KFC The Box All Rice Green Curry,https://images.ctfassets.net/n4pc9wlortyn/x2H6qepmCsnvCJD4Of5q1/5f67d085128c0f587261a9a4b45180a6/JPU_The_Box_All_Rice_Green_Curry_480x388.png
Value Meal #3,https://images.ctfassets.net/n4pc9wlortyn/2ybyqKXKRmfFnAJz2XRdhF/b1fc08094d9524f298fdeaad3d907f36/JPU_Don_Jai_3_480x388.png
Value Meal #2,https://images.ctfassets.net/n4pc9wlortyn/65j66HinVk1PtToj4XqW7z/af857cf53e6dd8069069f01768b8ac5c/JPU_Don_Jai_2_480x388.png
NEW Value Meal #1,https://images.ctfassets.net/n4pc9wlortyn/4L8YuD1XsaJ9tTd1hseQTI/7e389698ea3aa40c1e87b9a02a131454/Imkoom1.png
KFC Zabb Chicken Rice Bowl Set,https://images.ctfassets.net/n4pc9wlortyn/6JPDQZ5gTZkaiz1EtILJ5g/9eb881a4d90de6bf3e588466ed26a3ea/JPU_Combo_zabb_rice_480x388.png
KFC Combo Green Curry Crispy Chicken Rice,https://images.ctfassets.net/n4pc9wlortyn/7CN5Ukt9R1ToqMfIVOpge7/1d69c4eb6f522f734ab2c1770e27ddca/JPU_Combo_Green_curry_rice_480x388.png
Zinger Burger Set,https://images.ctfassets.net/n4pc9wlortyn/6xIGgEQ7eJdaKdTRSUGajq/6d5552112fa3f6fbdbbc86890f355309/JPU_Zinger_Set_480x388.png
All Star Bucket,https://images.ctfassets.net/n4pc9wlortyn/tU7iFhcYjBxWmiU78opKH/569b01344ebb379e3f1639f48124b64a/ALL-STAR-BUCKET_EN.png
Party Bucket,https://images.ctfassets.net/n4pc9wlortyn/4aOFG3X6RlCxMjVN0hIDeH/7d3d7d6d7351570c6f788866baf89dd5/SPU_Party_Bucket_480x388.png
